Item_Number,Description,Length_Price,Straight_Cut_Price,Chop_Price,Join_Price,Box_Price,Box_Qty,Width,Height,Rabbet_H,Cat_Page
1420,B&B SABLE BROWN,9.22,11.74,14.25,17.06,5.07,95,3,1 7/16,1/2,A-55
1520,B&B SABLE BROWN,7.01,9.07,11.14,13.65,3.86,140,2 1/8,1 7/16,1/2,A-55
1620,B&B SABLE BROWN,4.74,6.50,8.26,10.48,2.61,180,1 7/16,1 7/16,1/2,A-55
1720,B&B SABLE BROWN,3.45,4.99,6.52,8.45,1.90,320,7/8,1 3/8,1/2,A-55
1820,B&B SABLE BROWN,3.39,4.91,6.43,8.34,1.86,240,1 3/16,7/8,9/16,A-55
3020,MADERA COFFEE BROWN,2.30,3.47,4.64,6.29,1.27,475,3/4,3/4,1/2,A-43
3024,MADERA HONEY PECAN,2.30,3.47,4.64,6.29,1.27,475,3/4,3/4,1/2,A-43
3028,MADERA WALNUT,2.30,3.47,4.64,6.29,1.27,475,3/4,3/4,1/2,A-43
3029,MADERA NATURAL CLEAR,2.30,3.47,4.64,6.29,1.27,475,3/4,3/4,1/2,A-43
3059,MADERA BLACK,2.30,3.47,4.64,6.29,1.27,475,3/4,3/4,1/2,A-43
3120,MADERA COFFEE BROWN,5.92,7.74,9.56,11.93,3.26,171,1,2 1/8,1 5/8,A-41
3124,MADERA HONEY PECAN,5.92,7.74,9.56,11.93,3.26,171,1,2 1/8,1 5/8,A-41
3125,MADERA CHERRY,5.92,7.74,9.56,11.93,3.26,171,1,2 1/8,1 5/8,A-41
3128,MADERA WALNUT,5.92,7.74,9.56,11.93,3.26,171,1,2 1/8,1 5/8,A-41
3129,MADERA NATURAL CLEAR,5.92,7.74,9.56,11.93,3.26,171,1,2 1/8,1 5/8,A-41
3145,MADERA GRAY,5.92,7.74,9.56,11.93,3.26,171,1,2 1/8,1 5/8,A-41
3220,MADERA COFFEE BROWN,3.91,5.55,7.18,9.25,2.15,285,1 5/8,7/8,5/8,A-41
3224,MADERA HONEY PECAN,3.91,5.55,7.18,9.25,2.15,285,1 5/8,7/8,5/8,A-41
3225,MADERA CHERRY,3.91,5.55,7.18,9.25,2.15,285,1 5/8,7/8,5/8,A-41
3228,MADERA WALNUT,3.91,5.55,7.18,9.25,2.15,285,1 5/8,7/8,5/8,A-41
3229,MADERA NATURAL CLEAR,3.91,5.55,7.18,9.25,2.15,285,1 5/8,7/8,5/8,A-41
3245,MADERA GRAY,3.91,5.55,7.18,9.25,2.15,285,1 5/8,7/8,5/8,A-41
3320,MADERA COFFEE BROWN,3.42,4.95,6.47,8.39,1.88,285,3/4,1 1/4,1 1/8,A-43
3324,MADERA HONEY PECAN,3.42,4.95,6.47,8.39,1.88,285,3/4,1 1/4,1 1/8,A-43
3328,MADERA WALNUT,3.42,4.95,6.47,8.39,1.88,285,3/4,1 1/4,1 1/8,A-43
3329,MADERA NATURAL,3.42,4.95,6.47,8.39,1.88,285,3/4,1 1/4,1 1/8,A-43
3334,MADERA MAHOGANY,3.42,4.95,6.47,8.39,1.88,285,3/4,1 1/4,1 1/8,A-43
3345,MADERA GRAY,3.42,4.95,6.47,8.39,1.88,285,3/4,1 1/4,1 1/8,A-43
3358,MADERA WHITEWASH,3.42,4.95,6.47,8.39,1.88,285,3/4,1 1/4,1 1/8,A-43
3359,MADERA BLACK,3.42,4.95,6.47,8.39,1.88,285,3/4,1 1/4,1 1/8,A-43
4120,ETUDE DARK BROWN,3.90,5.54,7.17,9.23,2.15,266,1 3/16,7/8,1/2,A-69A
4124,ETUDE PECAN,3.90,5.54,7.17,9.23,2.15,266,1 3/16,7/8,1/2,A-69A
4128,ETUDE WALNUT,3.90,5.54,7.17,9.23,2.15,266,1 3/16,7/8,1/2,A-69A
4134,ETUDE MAHOGANY,3.90,5.54,7.17,9.23,2.15,266,1 3/16,7/8,1/2,A-69A
4220,ETUDE DARK BROWN,5.71,7.51,9.32,11.66,3.14,228,2,7/8,3/8,A-69A
4224,ETUDE PECAN,5.71,7.51,9.32,11.66,3.14,228,2,7/8,3/8,A-69A
4228,ETUDE WALNUT,5.71,7.51,9.32,11.66,3.14,228,2,7/8,3/8,A-69A
4234,ETUDE MAHOGANY,5.71,7.51,9.32,11.66,3.14,228,2,7/8,3/8,A-69A
4324,ETUDE PECAN,7.86,10.11,12.35,14.98,4.32,142,2 9/16,1 1/8,1/2,A-69A
4328,ETUDE WALNUT,7.86,10.11,12.35,14.98,4.32,142,2 9/16,1 1/8,1/2,A-69A
4334,ETUDE MAHOGANY,7.86,10.11,12.35,14.98,4.32,142,2 9/16,1 1/8,1/2,A-69A
4520,ADAGIO II DARK BROWN,3.52,5.07,6.63,8.57,1.94,342,1,3/4,1/2,A-67
4524,ADAGIO II PECAN,3.52,5.07,6.63,8.57,1.94,342,1,3/4,1/2,A-67
4528,ADAGIO II WALNUT,3.52,5.07,6.63,8.57,1.94,342,1,3/4,1/2,A-67
4534,ADAGIO II MAHOGANY,3.52,5.07,6.63,8.57,1.94,342,1,3/4,1/2,A-67
4545,ADAGIO II DARK,3.52,5.07,6.63,8.57,1.94,342,1,3/4,1/2,A-67
4620,ADAGIO II DARK BROWN,4.89,6.67,8.44,10.69,2.69,285,1 1/2,1,5/8,A-67
4624,ADAGIO II PECAN,4.89,6.67,8.44,10.69,2.69,285,1 1/2,1,5/8,A-67
4628,ADAGIO II WALNUT,4.89,6.67,8.44,10.69,2.69,285,1 1/2,1,5/8,A-67
4634,ADAGIO II MAHOGANY,4.89,6.67,8.44,10.69,2.69,285,1 1/2,1,5/8,A-67
4645,ADAGIO II DARK GRAY,4.89,6.67,8.44,10.69,2.69,285,1 1/2,1,5/8,A-67
4720,FORTE COFFEE,8.31,10.65,12.98,15.67,4.57,114,3,1 1/8,5/8,A-59
4728,FORTE WALNUT,8.31,10.65,12.98,15.67,4.57,114,3,1 1/8,5/8,A-59
